NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,1,,,2,,,1,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,2,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,4,5,4,7,3,2,4,6,3,4,1,8,5,4,6,1,4,3,7,2,1,5,4,3,1,2,3,2,3,,,3,3,2,,2,2,5,1,3,2
8,LEDPAL,,,,,,,,2,,,,,,,1,,,,,,6,,,5,7,,,2,,,,,4,,,,2,,,2,
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,2,,2,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,3,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,4,4,,,,5,2,,,7,3,,,,3,4,,2,4,6,,,1,4,3,,2,5,2,4,,,9,,,,3,7,2,,2
17,LITTER,1,1,1,,,,,,,,1,1,,,1,,,,1,1,,,,1,1,1,,1,,,,,1,,,,1,,,1,
18,TUSSOCK,,,,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,,1,1,,,,1,,1,,,1,,1,,1,,1,,,1
19,MOSS,,,1,,,,,1,,,1,1,,1,,,,,,1,1,,1,,1,,,1,,1,1,,,,1,,1,,1,1,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,1,1,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
24,MAX,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
25,MAXSPP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
26,GROUND,66,65,81,69,66,67,67,84,83,84,69,65,84,82,72,79,63,60,63,61,60,57,79,64,55,66,59,77,58,61,67,58,58,54,61,61,72,52,59,65,64
27,CANOPY,21,24,35,20,8,37,10,30,32,43,21,17,34,32,29,35,25,14,18,19,15,11,27,26,11,21,21,30,19,10,9,12,17,10,0,11,28,12,19,22,19
28,SPP,7,7,7,7,7,7,16,8,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,8,7,16,8,7,16,12,7,7,7,0,7,7,7,7,7,7
