NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,1,,,,,,2,,,,,,,,2,1,,,1,,,,,1,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,BETNAN,1,,,,,1,,,1,,2,1,2,,,2,,,,3,,,1,4,,1,3,,4,,5,1,6,2,,4,,7,3,,2
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,5,2,,,,4,2,,,6,3,2,,2,1,2,1,4,2,,,1,,,2,2,,1,3,7,1,,2,6,7,3,,,4,1,7
8,LEDPAL,,2,1,,2,6,3,,,5,5,4,2,,3,5,,,4,1,1,2,,,,,2,7,,,4,,2,,4,,3,,1,3,
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,4,1,2,,,2,1,,,1,3,1,,1,2,,,,1,1,1,,,,,1,,,,1,,,,,,,1,,1
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,
13,VACOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,1,,,,,1,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,5,3,,,,5,,,,3,2,1,,3,,,,2,3,2,2,2,4,5,3,2,3,,3,2,,,,,,,4,2,1,2,5
17,LITTER,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,1
18,TUSSOCK,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
19,MOSS,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,1,,1,1,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
24,MAX,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,63,79,65,67,66,73,72,71,74,62,75,72,68,75,75,69,69,69,76,65,64,83,70,73,62,68,71,77,63,59,64,70,76,76,72,72,80,79,73,71,70
27,CANOPY,31,39,17,9,13,34,33,35,14,17,42,31,24,23,24,30,18,13,30,19,16,39,12,31,26,31,27,19,31,22,28,15,33,35,31,26,18,51,47,24,34
28,SPP,7,7,10,10,8,8,3,3,1,7,7,7,3,10,8,7,7,1,7,3,8,7,3,3,16,1,3,7,3,7,7,3,3,7,7,7,16,3,3,7,7
