NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,4,2,,,7,,,2,2,,,2,2,5,,,2,,,9,1,,,3,8,,,5,4,4,3,2,1,14,,5,7,1,,,2
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,3,,,,,,3,,,,,2,,,,,,,1,1,2,3,,,,,,1,1,,,,2,,,,,,6
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,,,,,3,,1,,,2,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,5,5,26,5,5,7,8,4,,6,5,,,,7,4,,,6,,,,1,,,,,1,,,,,,,,,3,3,,,
8,LEDPAL,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,3,,,,,11,,
9,PETFRI,,1,,,,,1,,2,,,,2,2,,,1,,,2,1,,,,3,1,,,,,,1,,1,1,,,1,4,,1
10,RUBCHA,,,,6,1,,1,,,,,2,,1,,,,,,,,,,,,2,,,3,,,,3,,1,1,,,,1,2
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,,,,,,1,,,,,2,,,,,,3,1,,2,,,,,3,4,1,,,2,1,,,3,,,,1,1
13,PEDLAP,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,,8,3,,,4,3,,,,,,1,,2,3,1,,,1,,,2,3,,1,1,,,,1,1,,,,1,,4,,1,
17,LITTER,1,,1,,1,,,1,1,,,1,1,1,,,1,,,,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,,1
18,TUSSOCK,,,,1,,1,1,,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,
19,MOSS,1,1,1,1,1,,1,,1,1,,1,,,,1,1,1,,1,1,1,,,,1,,1,1,1,1,,1,,,,,,,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
24,MAX,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,91,87,92,90,77,62,69,84,83,79,62,86,80,83,70,63,80,68,85,85,68,77,81,90,81,81,73,81,80,85,69,84,65,83,70,79,68,78,75,70,82
27,CANOPY,38,37,57,49,38,17,27,37,47,30,22,39,26,40,27,20,29,10,36,33,16,30,21,33,29,24,14,39,29,29,29,26,16,40,10,33,29,29,22,11,40
28,SPP,7,7,3,7,1,7,7,7,3,7,7,1,1,3,7,7,9,9,5,1,1,1,7,9,1,9,9,1,1,1,1,3,1,1,10,1,1,1,9,7,3
