NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,1,,,6,,,1,1,1,,2,1,
4,CASTET,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,
5,CARBIG,2,2,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,1,,3,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,,1,3,1,4,1,1,4,7,2,1,10,4,2,4,3,6,1,,3,,5,4,7,4,1,5,1,1,,1,6,1,,,3,1
8,LEDPAL,4,1,,,,3,2,,,2,3,,,,,,,3,,1,,,1,,1,,6,,,,,,,,1,3,1,2,,,1
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,,,1,,3,,,,2,,,1,3,,,,,2,,3,,,,,,,,1,,,,,,,3,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,2,1,3,1,3,,,,3,8,,,,,6,3,,3,3,5,3,4,3,6,2,6,5,3,2,1,1,4,2,,2,4,,6,,,
17,LITTER,,,1,1,,1,,,,,1,,,1,,,,,1,1,,,1,1,,1,,,,1,,1,1,,,1,1,1,,,
18,TUSSOCK,,,,,,,,,,,,1,1,,,1,1,,,,1,1,,,,,1,,,,1,,,,,,,,,,
19,MOSS,1,1,,1,1,1,1,,1,1,1,,,1,1,,,,1,1,,,1,1,1,,,1,1,1,,1,1,1,1,,1,,1,1,1
20,LICHEN,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,1,,,1,1,,,,1,1
21,VOLE,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
24,MAX,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,76,79,72,72,74,81,73,75,71,83,82,57,58,73,79,74,57,67,74,74,57,58,75,75,79,68,63,76,81,77,65,75,70,78,80,81,71,77,80,81,78
27,CANOPY,16,20,14,4,5,18,9,21,17,20,34,10,8,17,11,30,6,15,8,22,18,12,20,14,23,16,19,28,23,21,9,22,5,12,18,22,12,9,11,31,16
28,SPP,8,5,5,16,12,8,8,7,7,7,7,7,7,7,12,7,7,7,7,7,7,7,8,5,3,7,7,7,3,7,7,3,16,5,7,7,7,16,3,7,7
