NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,1,2,2,,,2,4,,,,1,,1,,,6,,,4,2,2,,,1,4,,,2,2,1,1,,,2,,,,,1,,1
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,6,1,2,1,4,6,,2,,1,11,,1,,5,3,3,,2,2,2,,2,7,1,,,3,8,,,4,11,,,,1,1,4,1,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,3,,,,,,,,,2,4,,,,,,,,,,,,,1,,,,,,1,3,,,1,,1,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,,,5,2
8,LEDPAL,,8,,,,10,4,2,1,18,8,2,,1,7,7,,,5,6,2,3,3,3,,4,,7,,2,6,,,22,3,,,10,3,1,
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,2,3,1,1,2,,,1,2,,2,1,,2,2,1,3,5,2,,,1,3,,1,2,,,,2,,1,,,1,,,1,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,5,4,1,,,,,1,2,,5,,,4,,5,2,1,,7,1,,,4,10,1,3,3,1,1,,2,2,1,1,2,10,,,,2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,2,,,,,2,1,,,,2,,,,6,,,,,4,,,,1,4,,,1,2,7,,,1,,,,1,7,,,
17,LITTER,1,1,,1,1,1,1,1,,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,1
18,TUSSOCK,,,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,
19,MOSS,,1,1,1,,,1,1,1,,1,1,,,,,1,,,,,,1,,1,1,1,1,,,1,,1,,,,1,,,,1
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
24,MAX,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,74,73,69,83,66,75,73,75,66,79,75,73,70,65,77,76,79,68,67,79,75,82,70,66,81,84,74,67,76,77,81,70,70,78,77,70,72,76,78,70,68
27,CANOPY,36,40,34,49,25,66,24,33,18,44,64,18,29,21,40,61,24,5,30,60,25,20,23,33,42,24,10,51,40,25,25,19,44,30,25,20,48,30,32,22,15
28,SPP,3,3,3,3,3,3,8,3,8,3,3,8,3,8,16,3,3,16,1,3,3,8,3,3,3,8,10,3,3,16,1,3,3,1,8,5,3,16,8,3,1
