NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,2,3,2,,,,,,,,,4,,,,3,2,,,,,3,,,,,2,,,1,2,2,,1,2,,3,2,3,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,4,,5,6,1,10,,3,1,,1,2,7,3,,3,4,2,11,10,3,2,,,,,,,,,1,,,,1,2,,,12,1,1
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,7,1,,1,,3,,,,1,3,5,,1,1,1,2,,1,9,5,4,,11,10,2,1,5,15,4,,2,6,7,2,,2,3,1,2,
8,LEDPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PETFRI,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,2,,,,,,,2,,,,2,,1,,,3,,1,,,,2,,1,,2,,,,1,,,,,,,,,1
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,,,,,,,1,,,7,,,,2,,,,2,2,,,,,,,,,,,,,,,,,,,,
13,MUSHRO,,,,,1,,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,,,,,,,,1,,,,4,,,,5,,1,2,3,,,,4,,3,,,4,,,,3,,,,,4,,,1
17,LITTER,,,,1,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,,,1,1,1,1,1,1,,,
18,TUSSOCK,,,,,,,,,,,,,1,,,1,1,,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,,1,,,,
19,MOSS,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,,,,,,1,,1,,,1,,,1,1,1,1
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,1,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
24,MAX,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,88,80,86,82,82,88,83,76,75,80,80,77,66,82,83,66,70,77,80,62,65,86,83,83,60,61,83,85,62,61,62,79,73,86,79,78,69,86,91,82,78
27,CANOPY,77,30,49,60,50,68,3,37,40,8,40,38,37,25,35,31,30,29,32,38,28,43,45,47,29,23,25,43,30,21,23,24,31,47,40,16,33,57,61,51,12
28,SPP,3,7,3,3,3,3,16,3,3,7,3,7,3,7,7,7,1,1,3,3,7,7,1,7,7,7,7,7,7,7,3,1,1,7,7,1,7,1,3,3,3
