NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,,,,,2,,,1,2,1,,,,,,,1,,1,,,,2,,,,1,,,,,,,,,3,,,
4,CASTET,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,,,,3,,,,,,,,,,
5,CARBIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,1,1,5,6,4,,3,4,2,,,1,4,4,,1,3,4,,2,5,4,5,,1,6,2,,,,2,5,,,,2,,,,,5
8,LEDPAL,2,2,3,,,,2,,,4,,,,,,,4,,2,,6,,,2,,,3,3,3,2,,,2,,,,,,4,1,1
9,PETFRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,RUBCHA,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,3,1,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,2,,,,,4,1,2,,2,1,2,,,1,1,,,2,1,3,,,,,,2,,,,2,3,,3,,,3,1,,,2
13,PEDLAP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,,,,,2,,2,,,,2,1,4,,1,1,2,,,,,4,,,2,2,,,1,,,1,,,,,,,,,
17,LITTER,,1,,,,,,1,,,1,,,,1,,,,,,,,,1,1,1,,,,,,,1,,,,,,,1,
18,TUSSOCK,,,1,,,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,,1,,,,1,,,,,1
19,MOSS,,1,,1,1,,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,1,1,,1,1,1,,1,1,1,,
20,LICHEN,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,
21,VOLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FRAME,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
24,MAX,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
25,MAXSPP,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
26,GROUND,56,69,60,70,69,58,54,64,71,64,56,63,74,73,55,57,64,76,55,58,59,64,57,54,65,72,57,54,57,74,62,53,55,67,65,48,53,55,62,56,48
27,CANOPY,10,25,19,17,9,4,11,17,7,25,6,19,29,24,10,15,19,28,15,3,16,15,16,14,9,24,10,10,13,22,21,9,11,12,6,7,9,10,14,14,9
28,SPP,7,8,7,7,7,12,3,7,7,8,16,7,7,7,16,7,7,7,8,12,7,7,7,8,3,7,7,8,16,8,7,7,10,12,19,7,10,3,8,10,7
