NUM,CALL,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,5.1,5.2,5.3,5.4,5.5,6.1,6.2,6.3,6.4,7.1,7.2,7.3,7.4,7.5,8.1,8.2,8.3,8.4,9.1,9.2,9.3,9.4,9.5
1,CALCAN,2,,,,3,9,,,,2,12,2,5,,6,15,4,1,7,5,7,,,5,4,,,12,7,7,,4,3,,,,,3,,,
2,ANDPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BETNAN,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CASTET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CARBIG,,,,2,,,,,,,4,,,,,,3,,,,,2,,,,6,6,,,,1,2,2,,2,4,3,4,1,,2
6,EMPNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERIVAG,,7,7,4,,2,7,1,,,,,,,,,,,4,1,,,,,,,,,3,,,,3,5,,,9,,,,
8,LEDPAL,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,5,,,,6,,,,
9,PETFRI,1,,,5,2,,1,2,4,2,,3,2,4,,,2,4,2,3,2,,4,4,4,2,8,2,5,3,3,6,4,4,1,4,,4,3,2,3
10,RUBCHA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
11,SALPUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VACVIT,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,DEAD,1,1,,,,,1,,,2,2,,,,3,1,,,3,2,,1,,2,1,3,,,,,,,,4,,,,,,,
17,LITTER,,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
18,TUSSOCK,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MOSS,,,,,,,,,,,,,,,1,1,,,,1,1,,,1,1,,,1,1,,,,1,,,,,,1,,
20,LICHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLE,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BARE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
23,FRAME,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
24,MAX,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
25,MAXSPP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,GROUND,69,68,80,78,74,72,64,80,82,69,75,67,80,80,74,75,68,80,75,76,70,63,74,75,72,64,71,72,77,79,84,75,70,77,75,89,72,74,71,75,74
27,CANOPY,28,37,46,43,41,40,32,44,43,36,30,31,45,31,32,35,31,40,42,36,30,22,23,43,42,29,30,45,48,39,38,41,40,40,21,40,51,38,33,24,16
28,SPP,1,7,7,9,9,1,7,7,1,1,1,9,1,9,9,1,1,1,1,1,1,5,9,1,9,5,9,1,7,9,9,9,1,1,9,9,7,9,9,9,9
